Year,Name,Sex,Accuracy,Samples,Topic,Country,Continent,Column1,Column2
2020,Hélène,female,98,7861,Microbiology,France,Europe,,
2020,Claire,female,98,32304,Microbiology,France,Europe,,
2020,Rania,female,98,6286,Microbiology,France,Europe,,
2020,Marion,female,95,26832,Microbiology,France,Europe,,
2020,Christophe,male,98,60690,Microbiology,France,Europe,,
2020,Olivier,male,99,50237,Microbiology,France,Europe,,
2017,Matthias,male,100,17148,Microbiology,Germany,Europe,,
2017,Micah,male,86,3249,Microbiology,Germany,Europe,,
2017,Sascha,male,97,13412,Microbiology,Germany,Europe,,
2018,Dirk,male,99,14847,Microbiology,Germany,Europe,,
2018,Prashant,male,100,14073,Microbiology,Germany,Europe,,
2018,Philipp,male,99,8496,Microbiology,Germany,Europe,,
2018,Matthias,male,100,3407,Microbiology,Germany,Europe,,
2018,Sebastian,male,99,47850,Microbiology,Germany,Europe,,
2018,Oliver,male,98,22853,Microbiology,Germany,Europe,,
2018,Shraddha,female,98,1651,Microbiology,Germany,Europe,,
2018,Zhi-Luo,male,69,824,Microbiology,Germany,Europe,,
2018,Marisa,female,98,15794,Microbiology,Germany,Europe,,
2018,Tamta,female,94,121,Microbiology,Germany,Europe,,
2019,Enas,female,87,675,Microbiology,Germany,Europe,,
2019,Peter,male,99,146529,Microbiology,Germany,Europe,,
2019,Thorsten,male,99,5261,Microbiology,Germany,Europe,,
2019,Serge,male,98,24551,Microbiology,Germany,Europe,,
2019,Thomas,male,99,129177,Microbiology,Germany,Europe,,
2019,Anders,male,99,9660,Microbiology,Germany,Europe,,
2019,Dimitar,male,99,1456,Microbiology,Germany,Europe,,
2019,Ingo,male,99,3608,Microbiology,Germany,Europe,,
2019,Sten,male,98,840,Microbiology,Germany,Europe,,
2019,Kati,female,98,9911,Microbiology,Germany,Europe,,
2019,Felix,male,98,24864,Microbiology,Germany,Europe,,
2019,Ariane,female,97,4594,Microbiology,Germany,Europe,,
2019,Ivonne,female,98,3222,Microbiology,Germany,Europe,,
2019,Silke,female,98,3959,Microbiology,Germany,Europe,,
2019,Elizabeth,female,99,44677,Microbiology,Germany,Europe,,
2019,Matthias,male,100,17148,Microbiology,Germany,Europe,,
2019,Petra,female,98,52588,Microbiology,Germany,Europe,,
2019,Gopinath,male,100,1035,Microbiology,Germany,Europe,,
2019,Richard,male,99,97659,Microbiology,Germany,Europe,,
2019,Julia,female,97,57688,Microbiology,Germany,Europe,,
2019,Nico,male,97,43301,Microbiology,Germany,Europe,,
2020,Martin,male,98,139211,Microbiology,Germany,Europe,,
2020,W.,male,80,260,Microbiology,Germany,Europe,,
2020,Martin,male,98,139211,Microbiology,Germany,Europe,,
2020,Caroline,female,98,47275,Microbiology,Germany,Europe,,
2020,Olivier,male,99,50237,Microbiology,Germany,Europe,,
2020,Christina,female,94,36391,Microbiology,Germany,Europe,,
2020,Inam,male,95,549,Microbiology,Germany,Europe,,
2020,Karina,female,98,22685,Microbiology,Germany,Europe,,
2020,Somak,male,100,56,Microbiology,Germany,Europe,,
2020,Nico,male,97,43301,Microbiology,Germany,Europe,,
2020,Kira,female,92,9531,Microbiology,Germany,Europe,,
2020,Ralph,male,99,8958,Microbiology,Germany,Europe,,
2020,Julia,female,97,57688,Microbiology,Germany,Europe,,
2020,Philipp,male,99,8496,Microbiology,Germany,Europe,,
2020,Jungho,male,98,118,Microbiology,Germany,Europe,,
2020,Lin,female,58,6456,Microbiology,Germany,Europe,,
2020,Niko,male,96,14107,Microbiology,Germany,Europe,,
2018,Kristina,female,98,18828,Microbiology,Germany ,Europe,,
2020,Erik,male,96,31753,Microbiology,Germany ,Europe,,
2018,Forson,male,81,31,Microbiology,Ghana,Africa,,
2019,James,male,99,131879,Microbiology,Ghana,Africa,,
2018,Chendi,unknown,50,14,Microbiology,Hong Kong,Asia,,
2018,Yulin,female,64,118,Microbiology,Hong Kong,Asia,,
2018,Zsuzsanna,female,99,4047,Microbiology,Hungary,Europe,,
2020,Fanni,female,95,719,Microbiology,Hungary,Europe,,
2020,Gábor,male,99,11799,Microbiology,Hungary,Europe,,
2017,Kirti,female,72,1543,Microbiology,India,Asia,,
2018,Naveen,male,99,13084,Microbiology,India,Asia,,
2018,Ananta,male,85,475,Microbiology,India,Asia,,
2018,Iniya,male,100,777,Microbiology,India,Asia,,
2018,Ashish,male,100,22300,Microbiology,India,Asia,,
2019,Suvadip,male,100,47,Microbiology,India,Asia,,
2019,Rashmi,female,95,3580,Microbiology,India,Asia,,
2019,Sandeep,male,99,24024,Microbiology,India,Asia,,
2019,Nabajyoti,male,100,106,Microbiology,India,Asia,,
2019,Priyanka,female,99,11412,Microbiology,India,Asia,,
2019,Pragyan,male,56,133,Microbiology,India,Asia,,
2019,Jees,male,90,63,Microbiology,India,Asia,,
2020,P.,male,71,747,Microbiology,India,Asia,,
2020,Hemraj,male,99,372,Microbiology,India,Asia,,
2020,Prasanth,male,100,2163,Microbiology,India,Asia,,
2020,Yeswanth,male,100,110,Microbiology,India,Asia,,
2020,Kathirvel,male,100,83,Microbiology,India,Asia,,
2020,Dilip,male,99,5230,Microbiology,India,Asia,,
2020,Madhusoodhanan,male,100,11,Microbiology,India,Asia,,
2020,K.,male,61,1007,Microbiology,India,Asia,,
2020,Feroza,female,94,100,Microbiology,India,Asia,,
2020,Manas,male,98,1999,Microbiology,India,Asia,,
2019,Farveh,female,100,3,Microbiology,Iran,Asia,,
2018,Hadas,female,93,148,Microbiology,Israel,Asia,,
2018,Nelly,female,92,13790,Microbiology,Israel,Asia,,
2018,Noa,female,78,2079,Microbiology,Israel,Asia,,
2018,Guy,male,98,20859,Microbiology,Israel,Asia,,
2018,Frederic,male,98,26835,Microbiology,Israel,Asia,,
2020,Nofar,female,98,50,Microbiology,Israel,Asia,,
2020,Ronnie,male,91,6985,Microbiology,Israel,Asia,,
2020,Nofar,female,98,50,Microbiology,Israel,Asia,,
2020,Gur,male,89,154,Microbiology,Israel,Asia,,
2020,Einat,female,98,89,Microbiology,Israel,Asia,,
2020,Yaara,female,93,43,Microbiology,Israel,Asia,,
2018,Giada,female,99,12842,Microbiology,Italy,Europe,,
2018,Gaia,female,97,4005,Microbiology,Italy,Europe,,
2019,Clara,female,97,22929,Microbiology,Italy,Europe,,
2019,Arash,male,99,6956,Microbiology,Italy,Europe,,
2020,Antonio,male,99,180825,Microbiology,Italy,Europe,,
2020,Sreejith,male,100,1689,Microbiology,Italy,Europe,,
2020,Aitor,male,99,6365,Microbiology,Italy,Europe,,
2017,Tetsuo,male,99,162,Microbiology,Japan,Asia,,
2018,Emi,female,73,5328,Microbiology,Japan,Asia,,
2018,Hirokazu,male,100,225,Microbiology,Japan,Asia,,
2018,Miho,female,88,583,Microbiology,Japan,Asia,,
2018,Kazuki,male,98,764,Microbiology,Japan,Asia,,
2018,Tomotaka,male,100,37,Microbiology,Japan,Asia,,
2018,Takashi,male,99,1807,Microbiology,Japan,Asia,,
2019,Megumi,female,95,561,Microbiology,Japan,Asia,,
2019,Hiraku,male,90,21,Microbiology,Japan,Asia,,
2019,Satoshi,male,99,1177,Microbiology,Japan,Asia,,
2019,Takahiro,male,99,917,Microbiology,Japan,Asia,,
2019,Aa,male,72,3753,Microbiology,Japan,Asia,,
2020,Ángela,female,98,757,Microbiology,Japan,Asia,,
2020,Hiroyuki,male,100,1050,Microbiology,Japan,Asia,,
2020,Sotaro,male,100,108,Microbiology,Japan,Asia,,
2020,Suresh,male,100,15885,Microbiology,Japan,Asia,,
2020,Yoshiyuki,male,99,278,Microbiology,Japan,Asia,,
2020,Kazuhide,male,100,34,Microbiology,Japan,Asia,,
2020,T.,male,69,788,Microbiology,Japan,Asia,,
2020,Yoriyuki,male,75,4,Microbiology,Japan ,Asia,,
2020,Sein,male,67,217,Microbiology,Korea,Asia,,
2019,Han,male,72,4580,Microbiology,Malaysia,Asia,,
2018,Zeti,female,60,20,Microbiology,Malaysia ,Asia,,
2018,Alberto,male,99,73988,Microbiology,Mexico,North America,,
2019,Gerardo,male,99,12521,Microbiology,Mexico,North America,,
2018,Wei,male,73,4003,Microbiology,Netherlands,Europe,,
2018,Tim,male,99,52554,Microbiology,Netherlands,Europe,,
2018,Karina,female,98,22685,Microbiology,Netherlands,Europe,,
2019,Georg,male,99,4616,Microbiology,Netherlands,Europe,,
2019,Eric,male,99,121922,Microbiology,Netherlands,Europe,,
2019,Bastian,male,99,2753,Microbiology,Netherlands,Europe,,
2019,Ilse,female,99,2960,Microbiology,Netherlands,Europe,,
2019,Maarten,male,99,3184,Microbiology,Netherlands,Europe,,
2019,Peng,male,84,1353,Microbiology,Netherlands,Europe,,
2019,Karina,female,98,22685,Microbiology,Netherlands,Europe,,
